URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://hl7.eu/fhir/laboratory/ValueSet/lab-certifiedRefMaterial-eu-lab,0.2.0-ci,draft,,LabCertifiedReferenceMaterialVS,Laboratory Certified Reference Material,"List of the coded concepts describing the certified reference material used for the calibration, typically used when the unit of the result is UCUM [IU].",,"Other"
http://hl7.eu/fhir/laboratory/ValueSet/lab-laterality-eu-lab,0.2.0-ci,draft,,LabLateralityEuVs,Body Structure Laterality,"Body Structure site laterality qualifier. It indicates the body site laterality from which a laboratory specimen is collected. (based on SNOMED CT)",,"SCT"
http://hl7.eu/fhir/laboratory/ValueSet/lab-obsCode-eu-lab,0.2.0-ci,draft,,LaboratoryResultStandardEuVs,Laboratory Code,"Laboratory observation codes. List of Laboratory observation codes derived from the LOINC and NPU code systems.",,
http://hl7.eu/fhir/laboratory/ValueSet/lab-obsCode-loinc-eu-lab,0.2.0-ci,draft,,LoincVs,Laboratory Code: LOINC,"Laboratory observation codes based on the LOINC code system.",,"LOINC"
http://hl7.eu/fhir/laboratory/ValueSet/lab-obsCode-npu-eu-lab,0.2.0-ci,draft,,NpuVs,Laboratory Code: NPU,"Laboratory observation codes based on the NPU code system.",,"Other"
http://hl7.eu/fhir/laboratory/ValueSet/lab-orderCodes-eu-lab,0.2.0-ci,draft,,LabOrderCodesEuVs,Laboratory Order,"List of LOINC Laboratory codes of type 'Order' or 'Both. This value set is built upon the IPS value set 'Results Laboratory Observation - IPS'",,"LOINC"
http://hl7.eu/fhir/laboratory/ValueSet/lab-reportType-eu-lab,0.2.0-ci,draft,,LabReportTypesEuVs,Laboratory Report Types,"Laboratory Report Types. This version includes only one code as suggested by the eHN guideline. Category can be used for filtering per study type or specialty.",,"LOINC"
http://hl7.eu/fhir/laboratory/ValueSet/lab-siteQualifier-eu-lab,0.2.0-ci,draft,,LabSiteQualifierEuVs,Body Structure Qualifier,"Body Structure site qualifier. It indicates the body site qualifier from which a laboratory specimen is collected. (based on SNOMED CT)",,"SCT"
http://hl7.eu/fhir/laboratory/ValueSet/lab-specialty-eu-lab,0.2.0-ci,draft,,LabSpecialtyEuVs,Laboratory Specialty,"Laboratory Specialties. Notes: Note 1: This value set is based on analysis of national coding practices in 8 European countries (AT, CZ, DE, FR, IE, IT, PT, SE) and agreed by involved lab experts as a common lab specialty value set. Note 2: Many European countries are using additional laboratory specialty types, which should be mapped towards this value set. Note 3: In case of documented need, this value set could be extended.",,"SCT"
http://hl7.eu/fhir/laboratory/ValueSet/lab-speciesType-eu-vs,0.2.0-ci,draft,,LabSpeciesTypesEuVs,Types of species,"Types of animal species for non-human subjects",,"SCT"
http://hl7.eu/fhir/laboratory/ValueSet/lab-specimenAdditive-eu-lab,0.2.0-ci,draft,,LabSpecimenAdditiveEu,Specimen Additive,"List of the specimen additives. Additives are commonly added to the vacutainer tubes to preserve the specimen for laboratory analysis",,"SCT"
http://hl7.eu/fhir/laboratory/ValueSet/lab-specimenContainer-eu-lab,0.2.0-ci,draft,,LabSpecimenContainerEu,Specimen Container,"List of the containers commonly used to collect specimens (e.g. urine, blood,..).",,"SCT"
http://hl7.eu/fhir/laboratory/ValueSet/lab-specimenType-eu-lab,0.2.0-ci,draft,,LabSpecimenTypesEuVs,Specimen Types,"Laboratory Specimen Types",,"SCT"
http://hl7.eu/fhir/laboratory/ValueSet/lab-studyType-eu-lab,0.2.0-ci,draft,,LabStudyTypesEuVs,Laboratory Study Types,"Laboratory Study Types Notes: Note 1:26436-6 (Laboratory studies) enables issuing a report putting together observations from multiple specialties (disciplines) in the same text block, allowing delivery of a global interpretation comment at the end of the text block that will be rendered at the end of the report. Note 2:Mycology and parasitology, as well as bacteriology, are part of the 18725-2 (Microbiology studies (set)) studies. Note 3:Virology MAY be included in 18725-2 (MICROBIOLOGY STUDIES) or 18727-8 (SEROLOGY STUDIES) or split between both study types, depending upon the Content Creator Actor’s choice.",,"LOINC"
http://hl7.eu/fhir/laboratory/ValueSet/lab-technique-eu-lab,0.2.0-ci,draft,,LabTechniqueEuVs,Laboratory Techniques,"Laboratory technique (method of measurement) used for the result measurement (based on SNOMED CT).",,"SCT"
